pe,latency_ms_mean,latency_ms_std,success_rate,deadline_ok
0,3.5592,9.9476e-14,1,1
0.00625,3.5972,0.388015,1,1
0.0125,3.6552,0.625127,1,1
0.01875,3.7052,0.781463,1,1
0.025,3.7452,0.897443,1,1
0.03125,3.7912,1.00109,1,1
0.0375,3.8912,1.16008,1,1
0.04375,3.9052,1.21338,1,1
0.05,3.9452,1.29731,1,1
0.05625,4.0672,1.48524,1,1
0.0625,4.1432,1.58333,1,1
0.06875,4.2112,1.64161,1,1
0.075,4.2712,1.72193,1,1
0.08125,4.2172,1.72251,1,1
0.0875,4.3192,1.83259,1,1
0.09375,4.3052,1.8054,1,1
0.1,4.4012,1.93159,1,1
0.10625,4.5492,2.2027,1,1
0.1125,4.6572,2.25619,1,1
0.11875,4.7032,2.29854,1,1
0.125,4.6652,2.25583,1,1
0.13125,4.7592,2.30825,1,1
0.1375,4.8792,2.50152,1,1
0.14375,4.7592,2.28035,1,1
0.15,4.9352,2.53823,1,1
0.15625,4.9892,2.54462,1,1
0.1625,5.1672,2.67251,1,1
0.16875,5.1492,2.82133,1,1
0.175,5.2912,2.8914,1,1
0.18125,5.3112,2.85421,1,1
0.1875,5.4952,3.11575,1,1
0.19375,5.4032,3.12277,1,1
0.2,5.5972,3.16711,1,1
0.20625,5.7312,3.33023,1,1
0.2125,5.7672,3.35451,1,1
0.21875,5.8452,3.34637,1,1
0.225,5.9332,3.59167,1,1
0.23125,5.9532,3.52204,1,1
0.2375,6.0952,3.69008,1,1
0.24375,6.0492,3.63757,1,1
0.25,6.3692,3.95979,1,1
