latency_ms,cdf
1.87921,3.44839e-05
1.87921,6.89679e-05
1.87921,0.000103452
1.87922,0.000137936
1.87923,0.00017242
1.87924,0.000206904
1.87924,0.000241388
1.87924,0.000275872
1.87926,0.000310356
1.87927,0.000344839
1.87928,0.000379323
1.87928,0.000413807
1.87928,0.000448291
1.87928,0.000482775
1.87928,0.000517259
1.87929,0.000551743
1.8793,0.000586227
1.8793,0.000620711
1.87931,0.000655195
1.87931,0.000689679
1.87932,0.000724163
1.87932,0.000758647
1.87934,0.000793131
1.87935,0.000827615
1.87935,0.000862099
1.87935,0.000896583
1.87936,0.000931067
1.87937,0.000965551
1.87938,0.00100003
1.87938,0.00103452
1.87939,0.001069
1.87939,0.00110349
1.87939,0.00113797
1.87941,0.00117245
1.87941,0.00120694
1.87941,0.00124142
1.87941,0.00127591
1.87943,0.00131039
1.87944,0.00134487
1.87945,0.00137936
1.87945,0.00141384
1.87945,0.00144833
1.87946,0.00148281
1.87947,0.00151729
1.87948,0.00155178
1.87949,0.00158626
1.87949,0.00162075
1.8795,0.00165523
1.8795,0.00168971
1.8795,0.0017242
1.8795,0.00175868
1.87952,0.00179317
1.87953,0.00182765
1.87954,0.00186213
1.87957,0.00189662
1.87958,0.0019311
1.87959,0.00196559
1.87959,0.00200007
1.87962,0.00203455
1.87962,0.00206904
1.87964,0.00210352
1.87964,0.002138
1.87964,0.00217249
1.87965,0.00220697
1.87965,0.00224146
1.87965,0.00227594
1.87966,0.00231042
1.87966,0.00234491
1.87967,0.00237939
1.87968,0.00241388
1.87968,0.00244836
1.87968,0.00248284
1.87968,0.00251733
1.8797,0.00255181
1.87971,0.0025863
1.87971,0.00262078
1.87971,0.00265526
1.87971,0.00268975
1.87972,0.00272423
1.87972,0.00275872
1.87973,0.0027932
1.87974,0.00282768
1.87974,0.00286217
1.87974,0.00289665
1.87975,0.00293114
1.87975,0.00296562
1.87975,0.0030001
1.87975,0.00303459
1.87976,0.00306907
1.87977,0.00310356
1.87977,0.00313804
1.87977,0.00317252
1.87977,0.00320701
1.87978,0.00324149
1.87978,0.00327598
1.87978,0.00331046
1.87979,0.00334494
1.87979,0.00337943
1.8798,0.00341391
1.87981,0.00344839
1.87981,0.00348288
1.87982,0.00351736
1.87982,0.00355185
1.87982,0.00358633
1.87983,0.00362081
1.87984,0.0036553
1.87984,0.00368978
1.87985,0.00372427
1.87985,0.00375875
1.87986,0.00379323
1.87987,0.00382772
1.87987,0.0038622
1.87987,0.00389669
1.87988,0.00393117
1.87988,0.00396565
1.87989,0.00400014
1.87989,0.00403462
1.87989,0.00406911
1.87989,0.00410359
1.87992,0.00413807
1.87993,0.00417256
1.87994,0.00420704
1.87994,0.00424153
1.87996,0.00427601
1.87996,0.00431049
1.87997,0.00434498
1.87997,0.00437946
1.87997,0.00441395
1.87997,0.00444843
1.87999,0.00448291
1.88,0.0045174
1.88,0.00455188
1.88,0.00458637
1.88,0.00462085
1.88001,0.00465533
1.88003,0.00468982
1.88003,0.0047243
1.88004,0.00475878
1.88005,0.00479327
1.88006,0.00482775
1.88006,0.00486224
1.88008,0.00489672
1.88009,0.0049312
1.8801,0.00496569
1.8801,0.00500017
1.88011,0.00503466
1.88012,0.00506914
1.88014,0.00510362
1.88015,0.00513811
1.88015,0.00517259
1.88015,0.00520708
1.88017,0.00524156
1.88018,0.00527604
1.88018,0.00531053
1.88018,0.00534501
1.88019,0.0053795
1.8802,0.00541398
1.8802,0.00544846
1.88021,0.00548295
1.88022,0.00551743
1.88022,0.00555192
1.88022,0.0055864
1.88023,0.00562088
1.88024,0.00565537
1.88024,0.00568985
1.88024,0.00572434
1.88025,0.00575882
1.88025,0.0057933
1.88025,0.00582779
1.88026,0.00586227
1.88026,0.00589676
1.88027,0.00593124
1.88028,0.00596572
1.88029,0.00600021
1.88029,0.00603469
1.88029,0.00606917
1.8803,0.00610366
1.8803,0.00613814
1.8803,0.00617263
1.88032,0.00620711
1.88032,0.00624159
1.88032,0.00627608
1.88033,0.00631056
1.88034,0.00634505
1.88034,0.00637953
1.88035,0.00641401
1.88037,0.0064485
1.88037,0.00648298
1.88038,0.00651747
1.88039,0.00655195
1.88039,0.00658643
1.8804,0.00662092
1.8804,0.0066554
1.88042,0.00668989
1.88043,0.00672437
1.88043,0.00675885
1.88044,0.00679334
1.88046,0.00682782
1.88046,0.00686231
1.88047,0.00689679
1.88048,0.00693127
1.88049,0.00696576
1.88049,0.00700024
1.88051,0.00703473
1.88051,0.00706921
1.88051,0.00710369
1.88052,0.00713818
1.88052,0.00717266
1.88052,0.00720715
1.88053,0.00724163
1.88055,0.00727611
1.88055,0.0073106
1.88055,0.00734508
1.88057,0.00737956
1.88058,0.00741405
1.88058,0.00744853
1.88059,0.00748302
1.88059,0.0075175
1.8806,0.00755198
1.8806,0.00758647
1.88061,0.00762095
1.88061,0.00765544
1.88062,0.00768992
1.88063,0.0077244
1.88063,0.00775889
1.88066,0.00779337
1.88066,0.00782786
1.88067,0.00786234
1.8807,0.00789682
1.8807,0.00793131
1.88071,0.00796579
1.88072,0.00800028
1.88073,0.00803476
1.88074,0.00806924
1.88076,0.00810373
1.88078,0.00813821
1.88078,0.0081727
1.88078,0.00820718
1.88078,0.00824166
1.88078,0.00827615
1.88078,0.00831063
1.88079,0.00834512
1.88079,0.0083796
1.88079,0.00841408
1.8808,0.00844857
1.8808,0.00848305
1.88081,0.00851754
1.88082,0.00855202
1.88082,0.0085865
1.88082,0.00862099
1.88085,0.00865547
1.88086,0.00868995
1.88086,0.00872444
1.88087,0.00875892
1.88088,0.00879341
1.88089,0.00882789
1.88091,0.00886237
1.88091,0.00889686
1.88093,0.00893134
1.88094,0.00896583
1.88095,0.00900031
1.88095,0.00903479
1.88096,0.00906928
1.88096,0.00910376
1.88098,0.00913825
1.88098,0.00917273
1.88099,0.00920721
1.88101,0.0092417
1.88101,0.00927618
1.88101,0.00931067
1.88102,0.00934515
1.88102,0.00937963
1.88102,0.00941412
1.88102,0.0094486
1.88105,0.00948309
1.88107,0.00951757
1.88108,0.00955205
1.88109,0.00958654
1.8811,0.00962102
1.8811,0.00965551
1.8811,0.00968999
1.88111,0.00972447
1.88112,0.00975896
1.88113,0.00979344
1.88114,0.00982793
1.88115,0.00986241
1.88116,0.00989689
1.88116,0.00993138
1.88118,0.00996586
1.88118,0.0100003
