latency_ms,cdf
1.03891,3.44839e-05
1.03891,6.89679e-05
1.03891,0.000103452
1.03892,0.000137936
1.03893,0.00017242
1.03894,0.000206904
1.03894,0.000241388
1.03894,0.000275872
1.03896,0.000310356
1.03897,0.000344839
1.03898,0.000379323
1.03898,0.000413807
1.03898,0.000448291
1.03898,0.000482775
1.03898,0.000517259
1.03899,0.000551743
1.039,0.000586227
1.039,0.000620711
1.03901,0.000655195
1.03901,0.000689679
1.03902,0.000724163
1.03902,0.000758647
1.03904,0.000793131
1.03905,0.000827615
1.03905,0.000862099
1.03905,0.000896583
1.03906,0.000931067
1.03907,0.000965551
1.03908,0.00100003
1.03908,0.00103452
1.03909,0.001069
1.03909,0.00110349
1.03909,0.00113797
1.03911,0.00117245
1.03911,0.00120694
1.03911,0.00124142
1.03911,0.00127591
1.03913,0.00131039
1.03914,0.00134487
1.03915,0.00137936
1.03915,0.00141384
1.03915,0.00144833
1.03916,0.00148281
1.03917,0.00151729
1.03918,0.00155178
1.03919,0.00158626
1.03919,0.00162075
1.0392,0.00165523
1.0392,0.00168971
1.0392,0.0017242
1.0392,0.00175868
1.03922,0.00179317
1.03923,0.00182765
1.03924,0.00186213
1.03927,0.00189662
1.03928,0.0019311
1.03929,0.00196559
1.03929,0.00200007
1.03932,0.00203455
1.03932,0.00206904
1.03934,0.00210352
1.03934,0.002138
1.03934,0.00217249
1.03935,0.00220697
1.03935,0.00224146
1.03935,0.00227594
1.03936,0.00231042
1.03936,0.00234491
1.03937,0.00237939
1.03938,0.00241388
1.03938,0.00244836
1.03938,0.00248284
1.03938,0.00251733
1.0394,0.00255181
1.03941,0.0025863
1.03941,0.00262078
1.03941,0.00265526
1.03941,0.00268975
1.03942,0.00272423
1.03942,0.00275872
1.03943,0.0027932
1.03944,0.00282768
1.03944,0.00286217
1.03944,0.00289665
1.03945,0.00293114
1.03945,0.00296562
1.03945,0.0030001
1.03945,0.00303459
1.03946,0.00306907
1.03947,0.00310356
1.03947,0.00313804
1.03947,0.00317252
1.03947,0.00320701
1.03948,0.00324149
1.03948,0.00327598
1.03948,0.00331046
1.03949,0.00334494
1.03949,0.00337943
1.0395,0.00341391
1.03951,0.00344839
1.03951,0.00348288
1.03952,0.00351736
1.03952,0.00355185
1.03952,0.00358633
1.03953,0.00362081
1.03954,0.0036553
1.03954,0.00368978
1.03955,0.00372427
1.03955,0.00375875
1.03956,0.00379323
1.03957,0.00382772
1.03957,0.0038622
1.03957,0.00389669
1.03958,0.00393117
1.03958,0.00396565
1.03959,0.00400014
1.03959,0.00403462
1.03959,0.00406911
1.03959,0.00410359
1.03962,0.00413807
1.03963,0.00417256
1.03964,0.00420704
1.03964,0.00424153
1.03966,0.00427601
1.03966,0.00431049
1.03967,0.00434498
1.03967,0.00437946
1.03967,0.00441395
1.03967,0.00444843
1.03969,0.00448291
1.0397,0.0045174
1.0397,0.00455188
1.0397,0.00458637
1.0397,0.00462085
1.03971,0.00465533
1.03973,0.00468982
1.03973,0.0047243
1.03974,0.00475878
1.03975,0.00479327
1.03976,0.00482775
1.03976,0.00486224
1.03978,0.00489672
1.03979,0.0049312
1.0398,0.00496569
1.0398,0.00500017
1.03981,0.00503466
1.03982,0.00506914
1.03984,0.00510362
1.03985,0.00513811
1.03985,0.00517259
1.03985,0.00520708
1.03987,0.00524156
1.03988,0.00527604
1.03988,0.00531053
1.03988,0.00534501
1.03989,0.0053795
1.0399,0.00541398
1.0399,0.00544846
1.03991,0.00548295
1.03992,0.00551743
1.03992,0.00555192
1.03992,0.0055864
1.03993,0.00562088
1.03994,0.00565537
1.03994,0.00568985
1.03994,0.00572434
1.03995,0.00575882
1.03995,0.0057933
1.03995,0.00582779
1.03996,0.00586227
1.03996,0.00589676
1.03997,0.00593124
1.03998,0.00596572
1.03999,0.00600021
1.03999,0.00603469
1.03999,0.00606917
1.04,0.00610366
1.04,0.00613814
1.04,0.00617263
1.04002,0.00620711
1.04002,0.00624159
1.04002,0.00627608
1.04003,0.00631056
1.04004,0.00634505
1.04004,0.00637953
1.04005,0.00641401
1.04007,0.0064485
1.04007,0.00648298
1.04008,0.00651747
1.04009,0.00655195
1.04009,0.00658643
1.0401,0.00662092
1.0401,0.0066554
1.04012,0.00668989
1.04013,0.00672437
1.04013,0.00675885
1.04014,0.00679334
1.04016,0.00682782
1.04016,0.00686231
1.04017,0.00689679
1.04018,0.00693127
1.04019,0.00696576
1.04019,0.00700024
1.04021,0.00703473
1.04021,0.00706921
1.04021,0.00710369
1.04022,0.00713818
1.04022,0.00717266
1.04022,0.00720715
1.04023,0.00724163
1.04025,0.00727611
1.04025,0.0073106
1.04025,0.00734508
1.04027,0.00737956
1.04028,0.00741405
1.04028,0.00744853
1.04029,0.00748302
1.04029,0.0075175
1.0403,0.00755198
1.0403,0.00758647
1.04031,0.00762095
1.04031,0.00765544
1.04032,0.00768992
1.04033,0.0077244
1.04033,0.00775889
1.04036,0.00779337
1.04036,0.00782786
1.04037,0.00786234
1.0404,0.00789682
1.0404,0.00793131
1.04041,0.00796579
1.04042,0.00800028
1.04043,0.00803476
1.04044,0.00806924
1.04046,0.00810373
1.04048,0.00813821
1.04048,0.0081727
1.04048,0.00820718
1.04048,0.00824166
1.04048,0.00827615
1.04048,0.00831063
1.04049,0.00834512
1.04049,0.0083796
1.04049,0.00841408
1.0405,0.00844857
1.0405,0.00848305
1.04051,0.00851754
1.04052,0.00855202
1.04052,0.0085865
1.04052,0.00862099
1.04055,0.00865547
1.04056,0.00868995
1.04056,0.00872444
1.04057,0.00875892
1.04058,0.00879341
1.04059,0.00882789
1.04061,0.00886237
1.04061,0.00889686
1.04063,0.00893134
1.04064,0.00896583
1.04065,0.00900031
1.04065,0.00903479
1.04066,0.00906928
1.04066,0.00910376
1.04068,0.00913825
1.04068,0.00917273
1.04069,0.00920721
1.04071,0.0092417
1.04071,0.00927618
1.04071,0.00931067
1.04072,0.00934515
1.04072,0.00937963
1.04072,0.00941412
1.04072,0.0094486
1.04075,0.00948309
1.04077,0.00951757
1.04078,0.00955205
1.04079,0.00958654
1.0408,0.00962102
1.0408,0.00965551
1.0408,0.00968999
1.04081,0.00972447
1.04082,0.00975896
1.04083,0.00979344
1.04084,0.00982793
1.04085,0.00986241
1.04086,0.00989689
1.04086,0.00993138
1.04088,0.00996586
1.04088,0.0100003
1.04089,0.0100348
1.0409,0.0100693
1.04091,0.0101038
1.04091,0.0101383
1.04091,0.0101728
1.04091,0.0102072
1.04092,0.0102417
1.04093,0.0102762
1.04099,0.0103107
1.04099,0.0103452
1.04099,0.0103797
1.041,0.0104142
1.04102,0.0104486
1.04102,0.0104831
1.04102,0.0105176
1.04103,0.0105521
1.04103,0.0105866
1.04104,0.0106211
1.04105,0.0106555
1.04105,0.01069
1.04106,0.0107245
1.04106,0.010759
1.04108,0.0107935
1.04109,0.010828
1.04109,0.0108624
1.0411,0.0108969
1.04111,0.0109314
1.04111,0.0109659
1.04111,0.0110004
1.04112,0.0110349
1.04112,0.0110693
