latency_ms,cdf
2.99501,3.44863e-05
2.99501,6.89727e-05
2.99501,0.000103459
2.99502,0.000137945
2.99503,0.000172432
2.99504,0.000206918
2.99504,0.000241404
2.99504,0.000275891
2.99506,0.000310377
2.99507,0.000344863
2.99508,0.00037935
2.99508,0.000413836
2.99508,0.000448322
2.99508,0.000482809
2.99508,0.000517295
2.99509,0.000551781
2.9951,0.000586268
2.9951,0.000620754
2.99511,0.00065524
2.99511,0.000689727
2.99512,0.000724213
2.99512,0.000758699
2.99514,0.000793186
2.99515,0.000827672
2.99515,0.000862158
2.99515,0.000896644
2.99516,0.000931131
2.99517,0.000965617
2.99518,0.0010001
2.99518,0.00103459
2.99519,0.00106908
2.99519,0.00110356
2.99519,0.00113805
2.99521,0.00117254
2.99521,0.00120702
2.99521,0.00124151
2.99521,0.00127599
2.99523,0.00131048
2.99524,0.00134497
2.99525,0.00137945
2.99525,0.00141394
2.99525,0.00144843
2.99526,0.00148291
2.99527,0.0015174
2.99528,0.00155188
2.99529,0.00158637
2.99529,0.00162086
2.9953,0.00165534
2.9953,0.00168983
2.9953,0.00172432
2.9953,0.0017588
2.99532,0.00179329
2.99533,0.00182778
2.99534,0.00186226
2.99537,0.00189675
2.99538,0.00193123
2.99539,0.00196572
2.99539,0.00200021
2.99542,0.00203469
2.99542,0.00206918
2.99544,0.00210367
2.99544,0.00213815
2.99544,0.00217264
2.99545,0.00220712
2.99545,0.00224161
2.99545,0.0022761
2.99546,0.00231058
2.99546,0.00234507
2.99547,0.00237956
2.99548,0.00241404
2.99548,0.00244853
2.99548,0.00248302
2.99548,0.0025175
2.9955,0.00255199
2.99551,0.00258647
2.99551,0.00262096
2.99551,0.00265545
2.99551,0.00268993
2.99552,0.00272442
2.99552,0.00275891
2.99553,0.00279339
2.99554,0.00282788
2.99554,0.00286237
2.99554,0.00289685
2.99555,0.00293134
2.99555,0.00296582
2.99555,0.00300031
2.99555,0.0030348
2.99556,0.00306928
2.99557,0.00310377
