latency_ms,cdf
2.95811,3.44863e-05
2.95811,6.89727e-05
2.95811,0.000103459
2.95812,0.000137945
2.95813,0.000172432
2.95814,0.000206918
2.95814,0.000241404
2.95814,0.000275891
2.95816,0.000310377
2.95817,0.000344863
2.95818,0.00037935
2.95818,0.000413836
2.95818,0.000448322
2.95818,0.000482809
2.95818,0.000517295
2.95819,0.000551781
2.9582,0.000586268
2.9582,0.000620754
2.95821,0.00065524
2.95821,0.000689727
2.95822,0.000724213
2.95822,0.000758699
2.95824,0.000793186
2.95825,0.000827672
2.95825,0.000862158
2.95825,0.000896644
2.95826,0.000931131
2.95827,0.000965617
2.95828,0.0010001
2.95828,0.00103459
2.95829,0.00106908
2.95829,0.00110356
2.95829,0.00113805
2.95831,0.00117254
2.95831,0.00120702
2.95831,0.00124151
2.95831,0.00127599
2.95833,0.00131048
2.95834,0.00134497
2.95835,0.00137945
2.95835,0.00141394
2.95835,0.00144843
2.95836,0.00148291
2.95837,0.0015174
2.95838,0.00155188
2.95839,0.00158637
2.95839,0.00162086
2.9584,0.00165534
2.9584,0.00168983
2.9584,0.00172432
2.9584,0.0017588
2.95842,0.00179329
2.95843,0.00182778
2.95844,0.00186226
2.95847,0.00189675
2.95848,0.00193123
2.95849,0.00196572
2.95849,0.00200021
2.95852,0.00203469
2.95852,0.00206918
2.95854,0.00210367
2.95854,0.00213815
2.95854,0.00217264
2.95855,0.00220712
2.95855,0.00224161
2.95855,0.0022761
2.95856,0.00231058
2.95856,0.00234507
2.95857,0.00237956
2.95858,0.00241404
2.95858,0.00244853
2.95858,0.00248302
2.95858,0.0025175
2.9586,0.00255199
2.95861,0.00258647
2.95861,0.00262096
2.95861,0.00265545
2.95861,0.00268993
2.95862,0.00272442
2.95862,0.00275891
2.95863,0.00279339
2.95864,0.00282788
2.95864,0.00286237
2.95864,0.00289685
2.95865,0.00293134
2.95865,0.00296582
2.95865,0.00300031
2.95865,0.0030348
2.95866,0.00306928
2.95867,0.00310377
2.95867,0.00313826
2.95867,0.00317274
2.95867,0.00320723
2.95868,0.00324171
2.95868,0.0032762
2.95868,0.00331069
2.95869,0.00334517
2.95869,0.00337966
2.9587,0.00341415
2.95871,0.00344863
2.95871,0.00348312
2.95872,0.00351761
2.95872,0.00355209
2.95872,0.00358658
2.95873,0.00362106
2.95874,0.00365555
2.95874,0.00369004
2.95875,0.00372452
2.95875,0.00375901
2.95876,0.0037935
2.95877,0.00382798
2.95877,0.00386247
2.95877,0.00389695
2.95878,0.00393144
2.95878,0.00396593
2.95879,0.00400041
2.95879,0.0040349
2.95879,0.00406939
2.95879,0.00410387
2.95882,0.00413836
2.95883,0.00417285
2.95884,0.00420733
2.95884,0.00424182
2.95886,0.0042763
2.95886,0.00431079
2.95887,0.00434528
2.95887,0.00437976
2.95887,0.00441425
2.95887,0.00444874
2.95889,0.00448322
2.9589,0.00451771
2.9589,0.0045522
2.9589,0.00458668
2.9589,0.00462117
2.95891,0.00465565
2.95893,0.00469014
2.95893,0.00472463
2.95894,0.00475911
2.95895,0.0047936
2.95896,0.00482809
2.95896,0.00486257
2.95898,0.00489706
2.95899,0.00493154
2.959,0.00496603
2.959,0.00500052
2.95901,0.005035
2.95902,0.00506949
2.95904,0.00510398
2.95905,0.00513846
2.95905,0.00517295
2.95905,0.00520744
2.95907,0.00524192
2.95908,0.00527641
2.95908,0.00531089
2.95908,0.00534538
2.95909,0.00537987
2.9591,0.00541435
2.9591,0.00544884
2.95911,0.00548333
2.95912,0.00551781
2.95912,0.0055523
2.95912,0.00558678
2.95913,0.00562127
2.95914,0.00565576
2.95914,0.00569024
2.95914,0.00572473
2.95915,0.00575922
2.95915,0.0057937
2.95915,0.00582819
2.95916,0.00586268
2.95916,0.00589716
2.95917,0.00593165
2.95918,0.00596613
2.95919,0.00600062
2.95919,0.00603511
2.95919,0.00606959
2.9592,0.00610408
2.9592,0.00613857
2.9592,0.00617305
2.95922,0.00620754
2.95922,0.00624203
2.95922,0.00627651
2.95923,0.006311
2.95924,0.00634548
2.95924,0.00637997
2.95925,0.00641446
2.95927,0.00644894
2.95927,0.00648343
2.95928,0.00651792
2.95929,0.0065524
2.95929,0.00658689
2.9593,0.00662137
2.9593,0.00665586
2.95932,0.00669035
2.95933,0.00672483
2.95933,0.00675932
2.95934,0.00679381
2.95936,0.00682829
2.95936,0.00686278
2.95937,0.00689727
2.95938,0.00693175
2.95939,0.00696624
2.95939,0.00700072
2.95941,0.00703521
2.95941,0.0070697
2.95941,0.00710418
2.95942,0.00713867
2.95942,0.00717316
2.95942,0.00720764
2.95943,0.00724213
2.95945,0.00727661
2.95945,0.0073111
2.95945,0.00734559
2.95947,0.00738007
2.95948,0.00741456
2.95948,0.00744905
2.95949,0.00748353
2.95949,0.00751802
2.9595,0.00755251
2.9595,0.00758699
2.95951,0.00762148
2.95951,0.00765596
2.95952,0.00769045
2.95953,0.00772494
2.95953,0.00775942
2.95956,0.00779391
2.95956,0.0078284
2.95957,0.00786288
2.9596,0.00789737
2.9596,0.00793186
2.95961,0.00796634
2.95962,0.00800083
2.95963,0.00803531
2.95964,0.0080698
2.95966,0.00810429
2.95968,0.00813877
2.95968,0.00817326
2.95968,0.00820775
2.95968,0.00824223
2.95968,0.00827672
2.95968,0.0083112
2.95969,0.00834569
2.95969,0.00838018
2.95969,0.00841466
2.9597,0.00844915
2.9597,0.00848364
2.95971,0.00851812
2.95972,0.00855261
2.95972,0.0085871
2.95972,0.00862158
2.95975,0.00865607
2.95976,0.00869055
2.95976,0.00872504
2.95977,0.00875953
2.95978,0.00879401
2.95979,0.0088285
2.95981,0.00886299
2.95981,0.00889747
2.95983,0.00893196
2.95984,0.00896644
2.95985,0.00900093
2.95985,0.00903542
2.95986,0.0090699
2.95986,0.00910439
2.95988,0.00913888
2.95988,0.00917336
2.95989,0.00920785
2.95991,0.00924234
2.95991,0.00927682
2.95991,0.00931131
2.95992,0.00934579
2.95992,0.00938028
2.95992,0.00941477
2.95992,0.00944925
2.95995,0.00948374
2.95997,0.00951823
2.95998,0.00955271
2.95999,0.0095872
2.96,0.00962169
2.96,0.00965617
2.96,0.00969066
2.96001,0.00972514
2.96002,0.00975963
2.96003,0.00979412
2.96004,0.0098286
2.96005,0.00986309
2.96006,0.00989758
2.96006,0.00993206
2.96008,0.00996655
2.96008,0.010001
2.96009,0.0100355
2.9601,0.01007
2.96011,0.0101045
2.96011,0.010139
2.96011,0.0101735
2.96011,0.010208
2.96012,0.0102424
2.96013,0.0102769
2.96019,0.0103114
2.96019,0.0103459
2.96019,0.0103804
2.9602,0.0104149
2.96022,0.0104494
2.96022,0.0104838
2.96022,0.0105183
2.96023,0.0105528
2.96023,0.0105873
2.96024,0.0106218
2.96025,0.0106563
2.96025,0.0106908
2.96026,0.0107252
2.96026,0.0107597
2.96028,0.0107942
2.96029,0.0108287
2.96029,0.0108632
2.9603,0.0108977
