latency_ms,cdf
0.924325,3.44863e-05
0.924329,6.89727e-05
0.924336,0.000103459
0.924345,0.000137945
0.924361,0.000172432
0.924363,0.000206918
0.924365,0.000241404
0.924376,0.000275891
0.924395,0.000310377
0.924396,0.000344863
0.924398,0.00037935
0.924401,0.000413836
0.924402,0.000448322
0.924411,0.000482809
0.924423,0.000517295
0.924424,0.000551781
0.924434,0.000586268
0.924435,0.000620754
0.924443,0.00065524
0.924444,0.000689727
0.924459,0.000724213
0.92447,0.000758699
0.924485,0.000793186
0.924491,0.000827672
0.924498,0.000862158
0.92451,0.000896644
0.924511,0.000931131
0.924513,0.000965617
0.924528,0.0010001
0.924528,0.00103459
0.924533,0.00106908
0.924565,0.00110356
0.924568,0.00113805
0.924571,0.00117254
0.924572,0.00120702
0.924585,0.00124151
0.924585,0.00127599
0.924609,0.00131048
0.924612,0.00134497
0.924617,0.00137945
0.924617,0.00141394
0.924624,0.00144843
0.924651,0.00148291
0.924656,0.0015174
0.92469,0.00155188
0.9247,0.00158637
0.924707,0.00162086
0.92471,0.00165534
0.924738,0.00168983
0.924743,0.00172432
0.924758,0.0017588
0.924762,0.00179329
0.924775,0.00182778
0.924781,0.00186226
0.924795,0.00189675
0.924796,0.00193123
0.924802,0.00196572
0.924803,0.00200021
0.924832,0.00203469
0.924834,0.00206918
0.924835,0.00210367
0.924845,0.00213815
0.924846,0.00217264
0.924857,0.00220712
0.924861,0.00224161
0.924862,0.0022761
0.924868,0.00231058
0.924869,0.00234507
0.924872,0.00237956
0.924872,0.00241404
0.92489,0.00244853
0.924891,0.00248302
0.924892,0.0025175
0.924897,0.00255199
0.924902,0.00258647
0.924908,0.00262096
0.924931,0.00265545
0.924933,0.00268993
0.924935,0.00272442
0.924936,0.00275891
0.924942,0.00279339
0.924948,0.00282788
0.924956,0.00286237
0.924956,0.00289685
0.924966,0.00293134
0.924976,0.00296582
0.924985,0.00300031
0.924986,0.0030348
0.925,0.00306928
0.925005,0.00310377
0.925012,0.00313826
0.925013,0.00317274
0.925013,0.00320723
0.925014,0.00324171
0.925036,0.0032762
0.925049,0.00331069
0.925059,0.00334517
0.92506,0.00337966
0.92508,0.00341415
0.925083,0.00344863
0.925092,0.00348312
0.925092,0.00351761
0.925093,0.00355209
0.925094,0.00358658
0.925113,0.00362106
0.925118,0.00365555
0.925118,0.00369004
0.925119,0.00372452
0.925119,0.00375901
0.925132,0.0037935
0.925145,0.00382798
0.925152,0.00386247
0.92516,0.00389695
0.925167,0.00393144
0.925178,0.00396593
0.925184,0.00400041
0.925195,0.0040349
0.925214,0.00406939
0.925216,0.00410387
0.925222,0.00413836
0.925235,0.00417285
0.925238,0.00420733
0.925264,0.00424182
0.925265,0.0042763
0.925273,0.00431079
0.925275,0.00434528
0.925286,0.00437976
0.925297,0.00441425
0.925304,0.00444874
0.925308,0.00448322
0.925321,0.00451771
0.925324,0.0045522
0.925333,0.00458668
0.925335,0.00462117
0.925342,0.00465565
0.925342,0.00469014
0.925351,0.00472463
0.925358,0.00475911
0.925359,0.0047936
0.925363,0.00482809
0.925371,0.00486257
0.925374,0.00489706
0.925374,0.00493154
0.925381,0.00496603
0.925385,0.00500052
0.92539,0.005035
0.925402,0.00506949
0.925407,0.00510398
0.925412,0.00513846
0.925417,0.00517295
0.92542,0.00520744
0.925424,0.00524192
0.925437,0.00527641
0.925444,0.00531089
0.925445,0.00534538
0.925464,0.00537987
0.925473,0.00541435
0.925489,0.00544884
0.925491,0.00548333
0.925502,0.00551781
0.925507,0.0055523
0.925508,0.00558678
0.925518,0.00562127
0.925544,0.00565576
0.925548,0.00569024
0.925579,0.00572473
0.92558,0.00575922
0.925602,0.0057937
0.925605,0.00582819
0.925614,0.00586268
0.925625,0.00589716
0.92563,0.00593165
0.925631,0.00596613
0.925638,0.00600062
0.925639,0.00603511
0.92565,0.00606959
0.925672,0.00610408
0.925673,0.00613857
0.925673,0.00617305
0.925687,0.00620754
0.925697,0.00624203
0.925699,0.00627651
0.925711,0.006311
0.925711,0.00634548
0.925716,0.00637997
0.925723,0.00641446
0.925731,0.00644894
0.925738,0.00648343
0.925752,0.00651792
0.925755,0.0065524
0.92578,0.00658689
0.925782,0.00662137
0.925786,0.00665586
0.925815,0.00669035
0.925817,0.00672483
0.925832,0.00675932
0.925845,0.00679381
0.925848,0.00682829
0.925879,0.00686278
0.925895,0.00689727
0.925895,0.00693175
0.925899,0.00696624
0.925899,0.00700072
0.925901,0.00703521
0.925907,0.0070697
0.925912,0.00710418
0.925913,0.00713867
0.925919,0.00717316
0.925926,0.00720764
0.925937,0.00724213
0.925942,0.00727661
0.925944,0.0073111
0.925974,0.00734559
0.925979,0.00738007
0.925982,0.00741456
0.925986,0.00744905
0.926014,0.00748353
0.926034,0.00751802
0.926046,0.00755251
0.926056,0.00758699
0.926072,0.00762148
0.926073,0.00765596
0.926076,0.00769045
0.92608,0.00772494
0.926095,0.00775942
0.926114,0.00779391
0.926127,0.0078284
0.926132,0.00786288
0.926135,0.00789737
0.926139,0.00793186
0.926174,0.00796634
0.92619,0.00800083
0.926214,0.00803531
0.926217,0.0080698
0.926222,0.00810429
0.926242,0.00813877
0.92626,0.00817326
0.926279,0.00820775
0.926283,0.00824223
0.9263,0.00827672
0.926303,0.0083112
0.92631,0.00834569
0.926315,0.00838018
0.926328,0.00841466
0.926332,0.00844915
0.926333,0.00848364
0.926333,0.00851812
0.926349,0.00855261
0.92641,0.0085871
0.926421,0.00862158
0.926437,0.00865607
0.926443,0.00869055
0.926444,0.00872504
0.926445,0.00875953
0.926468,0.00879401
0.926502,0.0088285
0.926507,0.00886299
0.926527,0.00889747
0.926533,0.00893196
0.926536,0.00896644
0.926542,0.00900093
0.926553,0.00903542
0.926568,0.0090699
0.926575,0.00910439
0.926582,0.00913888
0.926584,0.00917336
